stateAfips,countyAfips,stateAname,countyAname,population2020,births2020,deaths2020
01,001,Alabama,Autauga County,58877,143,168
01,003,Alabama,Baldwin County,233140,527,661
01,005,Alabama,Barbour County,25180,64,109
01,007,Alabama,Bibb County,22223,62,90
01,009,Alabama,Blount County,59081,152,220
01,011,Alabama,Bullock County,10309,33,37
01,013,Alabama,Butler County,19045,40,58
01,015,Alabama,Calhoun County,116266,311,409
01,017,Alabama,Chambers County,34678,85,121
01,019,Alabama,Cherokee County,24958,55,114
01,021,Alabama,Chilton County,45024,125,138
01,023,Alabama,Choctaw County,12619,36,53
01,025,Alabama,Clarke County,22995,78,100
01,027,Alabama,Clay County,14193,34,53
01,029,Alabama,Cleburne County,15035,31,65
01,031,Alabama,Coffee County,53565,141,181
01,033,Alabama,Colbert County,57236,167,213
01,035,Alabama,Conecuh County,11552,35,48
01,037,Alabama,Coosa County,10383,23,32
01,039,Alabama,Covington County,37469,78,176
01,041,Alabama,Crenshaw County,13157,25,45
01,043,Alabama,Cullman County,88044,245,333
01,045,Alabama,Dale County,49214,157,170
01,047,Alabama,Dallas County,38190,112,144
01,049,Alabama,DeKalb County,71630,206,224
01,051,Alabama,Elmore County,88116,227,233
01,053,Alabama,Escambia County,36665,98,132
01,055,Alabama,Etowah County,103393,287,406
01,057,Alabama,Fayette County,16307,34,57
01,059,Alabama,Franklin County,32063,101,114
01,061,Alabama,Geneva County,26675,75,113
01,063,Alabama,Greene County,7704,24,24
01,065,Alabama,Hale County,14792,46,45
01,067,Alabama,Henry County,17167,42,65
01,069,Alabama,Houston County,107190,284,340
01,071,Alabama,Jackson County,52519,142,221
01,073,Alabama,Jefferson County,673341,1884,2224
01,075,Alabama,Lamar County,13943,34,60
01,077,Alabama,Lauderdale County,93610,220,322
01,079,Alabama,Lawrence County,33063,88,135
01,081,Alabama,Lee County,174601,432,368
01,083,Alabama,Limestone County,104322,230,250
01,085,Alabama,Lowndes County,10297,29,33
01,087,Alabama,Macon County,19476,28,67
01,089,Alabama,Madison County,389696,1026,1042
01,091,Alabama,Marengo County,19264,48,74
01,093,Alabama,Marion County,29287,78,131
01,095,Alabama,Marshall County,97608,334,365
01,097,Alabama,Mobile County,414250,1239,1434
01,099,Alabama,Monroe County,19723,50,67
01,101,Alabama,Montgomery County,228448,731,645
01,103,Alabama,Morgan County,123336,314,443
01,105,Alabama,Perry County,8452,24,34
01,107,Alabama,Pickens County,19062,46,88
01,109,Alabama,Pike County,32981,83,81
01,111,Alabama,Randolph County,21971,55,99
01,113,Alabama,Russell County,59226,173,158
01,115,Alabama,St. Clair County,91333,231,268
01,117,Alabama,Shelby County,223708,480,509
01,119,Alabama,Sumter County,12295,29,45
01,121,Alabama,Talladega County,82069,204,292
01,123,Alabama,Tallapoosa County,41229,97,179
01,125,Alabama,Tuscaloosa County,227153,616,492
01,127,Alabama,Walker County,65100,170,323
01,129,Alabama,Washington County,15296,38,68
01,131,Alabama,Wilcox County,10518,20,56
01,133,Alabama,Winston County,23491,54,84
02,013,Alaska,Aleutians East Borough,3418,2,4
02,016,Alaska,Aleutians West Census Area,5206,9,7
02,020,Alaska,Anchorage Municipality,290637,942,561
02,050,Alaska,Bethel Census Area,18648,104,42
02,060,Alaska,Bristol Bay Borough,831,2,1
02,063,Alaska,Chugach Census Area,7073,15,9
02,066,Alaska,Copper River Census Area,2616,4,4
02,068,Alaska,Denali Borough,1611,7,2
02,070,Alaska,Dillingham Census Area,4839,22,10
02,090,Alaska,Fairbanks North Star Borough,95286,352,137
02,100,Alaska,Haines Borough,2085,4,6
02,105,Alaska,Hoonah-Angoon Census Area,2361,8,11
02,110,Alaska,Juneau City and Borough,32195,80,52
02,122,Alaska,Kenai Peninsula Borough,58893,140,125
02,130,Alaska,Ketchikan Gateway Borough,13902,35,26
02,150,Alaska,Kodiak Island Borough,13023,29,15
02,158,Alaska,Kusilvak Census Area,8357,58,23
02,164,Alaska,Lake and Peninsula Borough,1454,7,5
02,170,Alaska,Matanuska-Susitna Borough,107460,354,209
02,180,Alaska,Nome Census Area,10032,55,22
02,185,Alaska,North Slope Borough,10993,42,18
02,188,Alaska,Northwest Arctic Borough,7784,36,19
02,195,Alaska,Petersburg Borough,3401,6,3
02,198,Alaska,Prince of Wales-Hyder Census Area,5725,16,26
02,220,Alaska,Sitka City and Borough,8428,24,18
02,230,Alaska,Skagway Municipality,1239,0,0
02,240,Alaska,Southeast Fairbanks Census Area,6831,31,13
02,275,Alaska,Wrangell City and Borough,2130,7,5
02,282,Alaska,Yakutat City and Borough,683,2,1
02,290,Alaska,Yukon-Koyukuk Census Area,5300,14,10
04,001,Arizona,Apache County,65897,183,262
04,003,Arizona,Cochise County,125398,283,404
04,005,Arizona,Coconino County,145116,347,248
04,007,Arizona,Gila County,53306,111,239
04,009,Arizona,Graham County,38614,119,81
04,011,Arizona,Greenlee County,9522,26,16
04,012,Arizona,La Paz County,16580,36,70
04,013,Arizona,Maricopa County,4438342,11549,9912
04,015,Arizona,Mohave County,214070,406,1030
04,017,Arizona,Navajo County,106802,365,415
04,019,Arizona,Pima County,1045599,2414,2939
04,021,Arizona,Pinal County,429583,1043,1106
04,023,Arizona,Santa Cruz County,47653,134,125
04,025,Arizona,Yavapai County,237067,388,917
04,027,Arizona,Yuma County,204437,632,576
05,001,Arkansas,Arkansas County,17105,60,76
05,003,Arkansas,Ashley County,18960,55,70
05,005,Arkansas,Baxter County,41655,86,219
05,007,Arkansas,Benton County,286353,834,540
05,009,Arkansas,Boone County,37352,81,133
05,011,Arkansas,Bradley County,10498,38,46
05,013,Arkansas,Calhoun County,4725,12,25
05,015,Arkansas,Carroll County,28202,66,94
05,017,Arkansas,Chicot County,10143,28,43
05,019,Arkansas,Clark County,21362,47,72
05,021,Arkansas,Clay County,14508,31,58
05,023,Arkansas,Cleburne County,24665,53,125
05,025,Arkansas,Cleveland County,7544,20,38
05,027,Arkansas,Columbia County,22741,65,89
05,029,Arkansas,Conway County,20729,66,80
05,031,Arkansas,Craighead County,111576,354,254
05,033,Arkansas,Crawford County,60107,178,198
05,035,Arkansas,Crittenden County,48067,164,162
05,037,Arkansas,Cross County,16762,37,63
05,039,Arkansas,Dallas County,6445,9,17
05,041,Arkansas,Desha County,11330,37,35
05,043,Arkansas,Drew County,17309,42,46
05,045,Arkansas,Faulkner County,123666,329,304
05,047,Arkansas,Franklin County,17122,55,75
05,049,Arkansas,Fulton County,12033,26,58
05,051,Arkansas,Garland County,100162,252,437
05,053,Arkansas,Grant County,17975,44,72
05,055,Arkansas,Greene County,45818,142,133
05,057,Arkansas,Hempstead County,19993,69,60
05,059,Arkansas,Hot Spring County,33034,67,121
05,061,Arkansas,Howard County,12755,46,49
05,063,Arkansas,Independence County,37892,102,136
05,065,Arkansas,Izard County,13576,33,69
05,067,Arkansas,Jackson County,16737,48,70
05,069,Arkansas,Jefferson County,66811,169,224
05,071,Arkansas,Johnson County,25692,64,81
05,073,Arkansas,Lafayette County,6294,16,26
05,075,Arkansas,Lawrence County,16196,42,77
05,077,Arkansas,Lee County,8529,28,40
05,079,Arkansas,Lincoln County,12879,21,54
05,081,Arkansas,Little River County,11971,33,48
05,083,Arkansas,Logan County,21097,57,86
05,085,Arkansas,Lonoke County,74042,227,232
05,087,Arkansas,Madison County,16551,50,39
05,089,Arkansas,Marion County,16862,26,65
05,091,Arkansas,Miller County,42570,121,130
05,093,Arkansas,Mississippi County,40503,130,148
05,095,Arkansas,Monroe County,6765,12,15
05,097,Arkansas,Montgomery County,8459,15,46
05,099,Arkansas,Nevada County,8284,21,29
05,101,Arkansas,Newton County,7198,14,25
05,103,Arkansas,Ouachita County,22592,65,97
05,105,Arkansas,Perry County,9997,30,42
05,107,Arkansas,Phillips County,16445,58,77
05,109,Arkansas,Pike County,10165,24,23
05,111,Arkansas,Poinsett County,22893,74,112
05,113,Arkansas,Polk County,19182,64,72
05,115,Arkansas,Pope County,63346,164,210
